"site_no","solar.time","temp.water","discharge","depth","cond","DO.obs","DO.sat"
"",NA,NA,NA,NA,NA,NA,NA
"01201487",2015-06-11 20:55:58,21.4,75.8,2.08788,677,7.2,81
"01201487",2015-06-11 21:10:58,21.4,76.8,2.090928,678,7.1,81
"01201487",2015-06-11 21:25:58,21.4,76.8,2.090928,679,7.1,81
"01201487",2015-06-11 21:40:58,21.4,75.8,2.08788,678,7.1,81
"01201487",2015-06-11 21:55:58,21.4,75.8,2.08788,679,7.1,80
"01201487",2015-06-11 22:10:58,21.4,75.8,2.08788,680,7.1,80
"01201487",2015-06-11 22:25:58,21.4,75.8,2.08788,682,7.1,80
"01201487",2015-06-11 22:40:58,21.4,75.8,2.08788,682,7,80
"01201487",2015-06-11 22:55:58,21.3,75.8,2.08788,678,7,80
"01201487",2015-06-11 23:10:58,21.3,75.8,2.08788,679,7,79
"01201487",2015-06-11 23:25:58,21.3,75.8,2.08788,680,7,79
"01201487",2015-06-11 23:40:58,21.3,75.8,2.08788,680,7,79
"01201487",2015-06-11 23:55:58,21.2,74.9,2.084832,681,7,79
"01201487",2015-06-12 00:10:58,21.2,74.9,2.084832,682,6.9,78
"01201487",2015-06-12 00:25:58,21.2,74.9,2.084832,683,6.9,78
"01201487",2015-06-12 00:40:58,21.1,74.9,2.084832,675,6.9,78
"01201487",2015-06-12 00:55:58,21.1,74.9,2.084832,676,6.9,78
"01201487",2015-06-12 01:10:58,21,74.9,2.084832,676,6.9,78
"01201487",2015-06-12 01:25:58,21,74,2.081784,686,6.9,77
"01201487",2015-06-12 01:40:58,20.9,74,2.081784,686,6.9,77
"01201487",2015-06-12 01:55:58,20.9,74,2.081784,686,6.9,77
"01201487",2015-06-12 02:10:58,20.8,73,2.078736,690,6.9,77
"01201487",2015-06-12 02:25:58,20.8,73,2.078736,680,6.8,77
"01201487",2015-06-12 02:40:58,20.7,73,2.078736,691,6.8,77
"01201487",2015-06-12 02:55:58,20.7,72.1,2.075688,691,6.9,77
"01201487",2015-06-12 03:10:58,20.6,72.1,2.075688,698,6.9,76
"01201487",2015-06-12 03:25:58,20.6,71.2,2.07264,686,6.9,76
"01201487",2015-06-12 03:40:58,20.6,71.2,2.07264,689,6.9,77
"01201487",2015-06-12 03:55:58,20.5,70.3,2.069592,699,6.9,77
"01201487",2015-06-12 04:10:58,20.5,70.3,2.069592,709,6.9,77
"01201487",2015-06-12 04:25:58,20.5,69.4,2.066544,693,6.9,77
"01201487",2015-06-12 04:40:58,20.5,69.4,2.066544,691,6.9,77
"01201487",2015-06-12 04:55:58,20.5,68.5,2.063496,693,7,77
"01201487",2015-06-12 05:10:58,20.5,67.6,2.060448,699,7,78
"01201487",2015-06-12 05:25:58,20.5,67.6,2.060448,697,7,78
"01201487",2015-06-12 05:40:58,20.5,67.6,2.060448,699,7,78
"01201487",2015-06-12 05:55:58,20.5,66.7,2.0574,702,7.1,79
"01201487",2015-06-12 06:10:58,20.5,65.8,2.054352,703,7.1,79
"01201487",2015-06-12 06:25:58,20.6,65.8,2.054352,706,7.1,79
"01201487",2015-06-12 06:40:58,20.6,65,2.051304,707,7.1,80
"01201487",2015-06-12 06:55:58,20.7,65,2.051304,717,7.2,80
"01201487",2015-06-12 07:10:58,20.8,64.1,2.048256,707,7.2,80
"01201487",2015-06-12 07:25:58,20.8,64.1,2.048256,708,7.2,81
"01201487",2015-06-12 07:40:58,21,64.1,2.048256,707,7.3,82
"01201487",2015-06-12 07:55:58,21.1,63.2,2.045208,706,7.3,82
"01201487",2015-06-12 08:10:58,21.2,63.2,2.045208,713,7.3,82
"01201487",2015-06-12 08:25:58,21.3,63.2,2.045208,714,7.3,83
"01201487",2015-06-12 08:40:58,21.5,63.2,2.045208,713,7.4,84
"01201487",2015-06-12 08:55:58,21.6,63.2,2.045208,717,7.4,84
"01201487",2015-06-12 09:10:58,21.7,63.2,2.045208,714,7.4,84
"01201487",2015-06-12 09:25:58,21.8,63.2,2.045208,709,7.4,85
"01201487",2015-06-12 09:40:58,21.9,64.1,2.048256,718,7.4,85
"01201487",2015-06-12 09:55:58,22,64.1,2.048256,704,7.5,86
"01201487",2015-06-12 10:10:58,22.1,64.1,2.048256,706,7.5,86
"01201487",2015-06-12 10:25:58,22.1,64.1,2.048256,696,7.5,86
"01201487",2015-06-12 10:40:58,22.2,65,2.051304,695,7.5,86
"01201487",2015-06-12 10:55:58,22.3,65,2.051304,712,7.5,87
"01201487",2015-06-12 11:10:58,22.4,65,2.051304,695,7.5,87
"01201487",2015-06-12 11:25:58,22.4,65.8,2.054352,700,7.5,87
"01201487",2015-06-12 11:40:58,22.5,65.8,2.054352,700,7.5,87
"01201487",2015-06-12 11:55:58,22.5,65.8,2.054352,693,7.5,87
"01201487",2015-06-12 12:10:58,22.5,66.7,2.0574,692,7.5,87
"01201487",2015-06-12 12:25:58,22.5,66.7,2.0574,693,7.5,87
"01201487",2015-06-12 12:40:58,22.4,66.7,2.0574,690,7.5,86
"01201487",2015-06-12 12:55:58,22.3,67.6,2.060448,687,7.4,86
"01201487",2015-06-12 13:10:58,22.3,67.6,2.060448,684,7.4,86
"01201487",2015-06-12 13:25:58,22.4,67.6,2.060448,681,7.4,86
"01201487",2015-06-12 13:40:58,22.4,67.6,2.060448,678,7.5,86
"01201487",2015-06-12 13:55:58,22.4,67.6,2.060448,675,7.4,86
"01201487",2015-06-12 14:10:58,22.4,68.5,2.063496,674,7.4,86
